rank	views_60d	status	title
840	127446	kept	Uncanny valley
841	127317	kept	Goliath
842	127172	kept	Mean Girls
843	127038	kept	Star Trek: The Next Generation
844	126955	kept	Lego
845	126899	kept	Megadeth
846	126855	kept	Cats (musical)
847	126603	kept	Sisyphus
848	126490	kept	Haruki Murakami
849	126433	kept	Slumdog Millionaire
850	126430	kept	The Lord of the Rings: The Return of the King
851	126273	kept	Arthur Conan Doyle
852	126251	kept	Star Trek: The Original Series
853	126064	kept	Ubisoft
854	125987	kept	Social media
855	125911	kept	Angkor Wat
856	125646	kept	Sense and Sensibility
857	125542	kept	The Princess Bride
858	125199	kept	Discworld
859	125177	kept	The Incredibles
860	125146	kept	The Hitchhiker's Guide to the Galaxy
861	124862	kept	Louis Armstrong
862	124817	kept	Aerosmith
863	124753	kept	Jet Li
864	124575	kept	Tower of Babel
865	124550	kept	Sherlock (TV series)
866	124462	kept	Morse code
867	124031	kept	Loch Ness Monster
868	123884	kept	Silent Hill
869	123812	kept	Rosetta Stone
870	123564	kept	Hank Williams
871	123500	kept	Paradise Lost
872	123362	kept	Erin Brockovich (film)
873	123269	kept	Firefly (TV series)
874	123247	kept	Frasier
875	123181	kept	Simon & Garfunkel
876	123072	kept	Five Nights at Freddy's
877	123035	kept	Twelve Olympians
878	123000	kept	Bigfoot
879	122740	kept	Pokémon (TV series)
880	122666	kept	Magnolia (film)
881	122596	kept	The Police
882	122593	kept	And Then There Were None
883	122554	kept	Once Upon a Time in America
884	122410	kept	Alejandro González Iñárritu
885	121980	kept	Bible
886	121908	kept	Princess Mononoke
887	121730	kept	Video game
888	121590	kept	Nihilism
889	121495	kept	Up (2009 film)
890	121373	kept	Cultural Revolution
891	121200	kept	Indiana Jones and the Last Crusade
892	121112	kept	Synesthesia
893	121010	kept	Survivor (American TV series)
894	120931	kept	Guernica (Picasso)
895	120860	kept	Futurama
896	120729	kept	Red Dead Redemption
897	120405	kept	Beat It
898	120399	kept	Calvin Harris
899	120394	kept	Quran
900	120207	kept	Disco Elysium
901	120090	kept	Sesame Street
902	120004	kept	William Faulkner
903	119816	kept	Woodstock
904	119583	kept	Hades
905	119477	kept	Revolver (Beatles album)
906	119412	kept	World Heritage Site
907	119409	kept	Davy Crockett
908	119158	kept	Patsy Cline
909	119066	kept	God of War (2018 video game)
910	118938	kept	Judas Priest
911	118924	kept	Winnie-the-Pooh
912	118884	kept	FromSoftware
913	118814	kept	Coco Chanel
914	118703	kept	Cologne Cathedral
915	118646	kept	Nine Inch Nails
916	118621	kept	Age of Enlightenment
917	118472	kept	Epistemology
918	118467	kept	Everybody Loves Raymond
919	118444	kept	Vampire
920	118412	kept	Bhagavad Gita
921	118121	kept	Luciano Pavarotti
922	118087	kept	Dungeons & Dragons
923	118012	kept	Among Us
924	117938	kept	The Brothers Karamazov
925	117759	kept	The Queen's Gambit (miniseries)
926	117752	kept	Encanto
927	117737	kept	The Stranger (Camus novel)
928	117472	kept	Christ the Redeemer (statue)
929	117462	kept	Yin and yang
930	117338	kept	My Neighbor Totoro
931	117131	kept	Esperanto
932	116848	kept	Unforgiven
933	116805	kept	Mahabharata
934	116695	kept	National Treasure (film)
935	116680	kept	Rammstein
936	116651	kept	Baldur's Gate 3
937	116630	kept	Thomas Pynchon
938	116605	kept	The Velvet Underground
939	116481	kept	Percy Jackson & the Olympians
940	116435	kept	Hideo Kojima
941	116377	kept	Dead Sea Scrolls
942	116372	kept	Predator (film)
943	116192	kept	Frédéric Chopin
944	116032	kept	Dr. Strangelove
945	115837	kept	Ozymandias
946	115772	kept	Undertale
947	115680	kept	Sekhmet
948	115235	kept	Victor Hugo
949	115192	kept	Anne of Green Gables
950	115128	kept	J. D. Salinger
951	114958	kept	Buckingham Palace
952	114954	kept	Return of the Jedi
953	114934	kept	My Hero Academia
954	114908	kept	Full House
955	114892	kept	Internet meme
956	114790	kept	Maya Angelou
957	114750	kept	Train to Busan
958	114585	kept	Blur (band)
959	114528	kept	Do the Right Thing
960	114502	kept	The White Stripes
961	114440	kept	World cup
962	114151	kept	Macbeth
963	114139	kept	24 (TV series)
964	114082	kept	David (Michelangelo)
965	113990	kept	Talmud
966	113898	kept	Soundgarden
967	113839	kept	Memories of Murder
968	113823	kept	Hercules (1997 film)
969	113820	kept	Golden ratio
970	113793	kept	Johann Sebastian Bach
971	113693	kept	The Three Musketeers
972	113688	kept	Otis Redding
973	113214	kept	Parthenon
974	113210	kept	Eurovision Song Contest
975	113012	kept	Cyclopes
976	112924	kept	Atlantis
977	112799	kept	Zootopia
978	112769	kept	The Twilight Zone
979	112682	kept	Million Dollar Baby
980	112308	kept	Go (game)
981	112144	kept	Eugene O'Neill
982	112064	kept	Shinto
983	111974	kept	Logan (film)
984	111678	kept	Dragon
985	111592	kept	Yoga
986	111570	kept	David Guetta
987	111527	kept	The Breakfast Club
988	111503	kept	Rosemary's Baby (film)
989	111499	kept	Odin
990	111399	kept	Mad Max
991	111316	kept	Buster Keaton
992	111100	kept	Virgil
993	110949	kept	Sheldon Cooper
994	110924	kept	The Bourne Identity (2002 film)
995	110818	kept	Titans
996	110488	kept	Hera
997	110457	kept	Maria Callas
998	110322	kept	Alchemy
999	110273	kept	William S. Burroughs
1000	110264	kept	American Dad!
1001	110177	kept	Wonderwall
1002	110157	kept	Terracotta Army
1003	110114	kept	Aladdin (1992 Disney film)
1004	109989	kept	Forbidden City
1005	109985	kept	Confucius
1006	109957	kept	Cicero
1007	109894	kept	Saturday Night Fever
1008	109859	kept	MTV
1009	109858	kept	Hannah Arendt
1010	109727	kept	Notre-Dame de Paris
1011	109610	kept	Wendigo
1012	109477	kept	L.A. Confidential (film)
1013	109459	kept	John Legend
1014	109450	kept	Golden Gate Bridge
1015	109308	kept	Emily Brontë
1016	109262	kept	The Temptations
1017	109195	kept	Ten Commandments
1018	109163	kept	Film
1019	108907	kept	Nina Simone
1020	108760	kept	Ship of Theseus
1021	108705	kept	Music
1022	108657	kept	Marvel Comics
1023	108539	kept	Superman (1978 film)
1024	108524	kept	Fahrenheit 451
1025	108470	kept	Reservoir Dogs
1026	108440	kept	The Little Prince
1027	108223	kept	Acropolis of Athens
1028	108203	kept	X-Men (film)
1029	108190	kept	Toni Morrison
1030	108121	kept	Pan's Labyrinth
1031	108019	kept	Cabaret (musical)
1032	108019	kept	Diogenes
1033	108012	kept	Mickey Mouse
1034	107992	kept	Tony Awards
1035	107885	kept	DC Comics
1036	107864	kept	H. G. Wells
1037	107806	kept	The Metamorphosis
1038	107790	kept	Édith Piaf
1039	107627	kept	Catch-22
1040	107543	kept	The Clash
1041	107389	kept	Ghostbusters
1042	107386	kept	Deadpool (film)
1043	107362	kept	A Game of Thrones
1044	107290	kept	Motown
1045	107277	kept	Arthur C. Clarke
1046	107197	kept	Philadelphia (film)
1047	107132	kept	Jane Eyre
1048	107065	kept	Beauty and the Beast (1991 film)
1049	106830	kept	The Hunchback of Notre Dame (1996 film)
1050	106808	kept	St. Peter's Basilica
1051	106745	kept	Rumi
1052	106709	kept	Book of Revelation
1053	106661	kept	Jack Kerouac
1054	106547	kept	Jean-Paul Sartre
1055	106472	kept	Encyclopedia
1056	106433	kept	Adventure Time
1057	106285	kept	Aeneas
1058	106242	kept	Fortnite
1059	106185	kept	Steam (service)
1060	106133	kept	Ramayana
1061	106102	kept	Akira (1988 film)
1062	106024	kept	Need for Speed
1063	105877	kept	Vladimir Nabokov
1064	105838	kept	Billie Holiday
1065	105728	kept	Primetime Emmy Awards
1066	105662	kept	Othello
1067	105643	kept	Skrillex
1068	105611	kept	American Graffiti
1069	105554	kept	Claude Monet
1070	105552	kept	HBO
1071	105369	kept	Lewis Carroll
1072	105357	kept	Michel Foucault
1073	105255	kept	Beetlejuice
1074	105111	kept	Battlestar Galactica (2004 TV series)
1075	105003	kept	Wolverine (character)
1076	104876	kept	The Wall
1077	104861	kept	Thor: Ragnarok
1078	104802	kept	Grammy Awards
1079	104716	kept	Dr. No (film)
1080	104700	kept	Ginger Rogers
1081	104606	kept	Teletubbies
1082	104603	kept	Minotaur
1083	104598	kept	Single (music)
1084	104583	kept	Tom Ford
1085	104533	kept	Cthulhu
1086	104403	kept	Ran (film)
1087	104227	kept	Life of Pi
1088	104078	kept	Cyrillic script
1089	104032	kept	One Thousand and One Nights
1090	104001	kept	The Bell Jar
1091	103959	kept	Woody (Toy Story)
1092	103951	kept	Johann Wolfgang von Goethe
1093	103903	kept	Mulan (1998 film)
1094	103863	kept	Greta Garbo
1095	103670	kept	John Grisham
1096	103432	kept	Love Actually
1097	103424	kept	Ensemble cast
1098	103341	kept	PlayStation (console)
1099	103334	kept	Rocky IV
1100	103269	kept	Barry Lyndon
1101	103088	kept	Hans Christian Andersen
1102	103026	kept	Home Alone
1103	102631	kept	Hannibal Lecter
1104	102589	kept	Hello Kitty
1105	102409	kept	Xbox 360
1106	102388	kept	Monopoly (game)
1107	102277	kept	Your Name
1108	102217	kept	Perseus
1109	102077	kept	Søren Kierkegaard
1110	102070	kept	Jinn
1111	102000	kept	Rain Man
1112	101855	kept	Paw Patrol
1113	101814	kept	Buzz Lightyear
1114	101742	kept	St Paul's Cathedral
1115	101590	kept	Thelma & Louise
1116	101513	kept	The Little Mermaid (1989 film)
1117	101455	kept	Satyajit Ray
1118	101453	kept	The Color Purple (1985 film)
1119	101431	kept	Sega
1120	101397	kept	Pop music
1121	101088	kept	Total Recall (1990 film)
1122	101063	kept	Married... with Children
1123	100914	kept	Heart of Darkness
1124	100814	kept	Mary Poppins (film)
1125	100750	kept	Life Is Beautiful
1126	100709	kept	Some Like It Hot
1127	100527	kept	Of Mice and Men
1128	100506	kept	Metal Gear
1129	100501	kept	The Magnificent Seven
1130	100470	kept	Godzilla
1131	100423	kept	Arc de Triomphe
1132	100299	kept	Rock and Roll Hall of Fame
1133	100109	kept	Chinatown (1974 film)
1134	100030	kept	Ben-Hur (1959 film)
1135	99940	kept	Arctic Monkeys
1136	99774	kept	Punk rock
1137	99669	kept	Deadpool
1138	99669	kept	Jules Verne
1139	99644	kept	Theseus
1140	99609	kept	Bertrand Russell
1141	99462	kept	Terry Pratchett
1142	99366	kept	Allen Ginsberg
1143	99249	kept	René Descartes
1144	99141	kept	Heavy metal music
1145	99084	kept	Rubber Soul
1146	99069	kept	The Untouchables (film)
1147	99067	kept	Nevermind
1148	99032	kept	Alexander McQueen
1149	99032	kept	Snow White and the Seven Dwarfs (1937 film)
1150	99019	kept	Gossip Girl
1151	98987	kept	Mikhail Baryshnikov
1152	98777	kept	Marxism
1153	98662	kept	Gérard Depardieu
1154	98618	kept	Darth Vader
1155	98547	kept	Photography
1156	98516	kept	Richard Wagner
1157	98391	kept	N.W.A
1158	98261	kept	Breakfast at Tiffany's (film)
1159	98165	kept	Art Deco
1160	98145	kept	Ares
1161	98101	kept	Call of Duty 4: Modern Warfare
1162	98003	kept	Existentialism
1163	97991	kept	Atlas (mythology)
1164	97938	kept	Walt Whitman
1165	97885	kept	Caravaggio
1166	97876	kept	Dragon Ball
1167	97653	kept	Baruch Spinoza
1168	97649	kept	The Great Wave off Kanagawa
1169	97522	kept	Mount Olympus
1170	97481	kept	The Powerpuff Girls
1171	97379	kept	Captain America: The Winter Soldier
1172	97346	kept	Lost in Translation (film)
1173	97346	kept	The Lord of the Rings: The Two Towers
1174	97047	kept	Sleepless in Seattle
1175	96892	kept	Stalker (1979 film)
1176	96784	kept	John Locke
1177	96765	kept	North by Northwest
1178	96738	kept	Hedonism
1179	96719	kept	Las Meninas
1180	96632	kept	Captain America
1181	96599	kept	Shrek 2
1182	96293	kept	Perfect Blue
1183	96220	kept	Tower of London
1184	96212	kept	Rent (musical)
1185	96152	kept	Star Fox
1186	96018	kept	Rock music
1187	95909	kept	A Star Is Born (2018 film)
1188	95866	kept	Kali
1189	95792	kept	Rembrandt
1190	95766	kept	Nintendo Entertainment System
1191	95642	kept	Ponyo
1192	95522	kept	T. S. Eliot
1193	95513	kept	The Creation of Adam
1194	95257	kept	Pet Sounds
1195	95241	kept	The Hobbit
1196	95233	kept	Broadway theatre
1197	95225	kept	Washington Monument
1198	95187	kept	The Grapes of Wrath
1199	95167	kept	Vishnu
1200	95090	kept	Nat King Cole
1201	95035	kept	Andrei Rublev (film)
1202	95031	kept	Nobel Prize
1203	94955	kept	Keith Haring
1204	94760	kept	John Coltrane
1205	94751	kept	War and Peace
1206	94724	kept	CN Tower
1207	94610	kept	Smooth Criminal
1208	94442	kept	Halo: Combat Evolved
1209	94430	kept	Notting Hill (film)
1210	94145	kept	Sushi
1211	94142	kept	Tetris
1212	94058	kept	Michelin Guide
1213	94019	kept	Allegory of the cave
1214	94006	kept	Slayer
1215	93920	kept	The Doctor
1216	93888	kept	Live Aid
1217	93860	kept	Percy Bysshe Shelley
1218	93765	kept	City of God (2002 film)
1219	93733	kept	Peppa Pig
1220	93699	kept	Film noir
1221	93533	kept	Big Ben
1222	93475	kept	True Grit (2010 film)
1223	93378	kept	Arthur Schopenhauer
1224	93361	kept	Evil eye
1225	93360	kept	Emoji
1226	93252	kept	Motörhead
1227	93232	kept	Loki
1228	93193	kept	Wii
1229	93107	kept	Liberalism
1230	93065	kept	Die Hard
1231	93002	kept	Harper Lee
1232	92988	kept	Baba Yaga
1233	92926	kept	World of Warcraft
1234	92922	kept	Crucifixion of Jesus
1235	92910	kept	Marcel Proust
1236	92894	kept	A Streetcar Named Desire
1237	92812	kept	Ang Lee
1238	92700	kept	The Fresh Prince of Bel-Air
1239	92658	kept	Shigeru Miyamoto
1240	92657	kept	The Last Samurai
1241	92649	kept	Kiki's Delivery Service
1242	92393	kept	Soul (2020 film)
1243	92366	kept	Leaning Tower of Pisa
1244	92306	kept	Birdman (film)
1245	92249	kept	Anna Karenina
1246	92112	kept	Charlotte Brontë
1247	92096	kept	Waiting for Godot
1248	92060	kept	Norse mythology
1249	91877	kept	Kathryn Bigelow
1250	91827	kept	Fullmetal Alchemist
1251	91809	kept	George Eliot
1252	91804	kept	Boyz n the Hood
1253	91681	kept	Lars von Trier
1254	91541	kept	Louvre
1255	91505	kept	Wish You Were Here (Pink Floyd album)
1256	91241	kept	Bohemian Rhapsody
1257	91230	kept	Dan Brown
1258	91219	kept	Aldous Huxley
1259	91114	kept	Coffee
1260	91107	kept	Pyotr Ilyich Tchaikovsky
1261	91098	kept	A Nightmare on Elm Street
1262	91015	kept	Gravity Falls
1263	90972	kept	The Scream
1264	90617	kept	Orpheus
1265	90522	kept	X-Men
1266	90442	kept	Hephaestus
1267	90432	kept	Beavis and Butt-Head
1268	90406	kept	Wonder Woman
1269	90390	kept	The Elder Scrolls V: Skyrim
1270	90388	kept	Alhambra
1271	90279	kept	Douglas Adams
1272	90260	kept	William Blake
1273	90178	kept	Castlevania
1274	90112	kept	Sudoku
1275	90037	kept	Uranus (mythology)
1276	89939	kept	Sun Wukong
1277	89895	kept	Inside Out
1278	89859	kept	Demeter
1279	89856	kept	Bong Joon Ho
1280	89775	kept	Frank Herbert
1281	89733	kept	Chinese zodiac
1282	89612	kept	Tank Man
1283	89417	kept	Ingmar Bergman
1284	89345	kept	Journey to the West
1285	89082	kept	Girl with a Pearl Earring
1286	89031	kept	Cowboy Bebop
1287	89030	kept	Training Day
1288	88884	kept	Never Let Me Go (novel)
1289	88805	kept	Death Stranding
1290	88800	kept	Holi
1291	88794	kept	Professor Moriarty
1292	88777	kept	Metropolis (1927 film)
1293	88565	kept	Jackson Pollock
1294	88491	kept	Brave (2012 film)
1295	88465	kept	Strange Case of Dr Jekyll and Mr Hyde
1296	88322	kept	Romanticism
1297	88277	kept	Robert Johnson
1298	88273	kept	RoboCop
1299	88213	kept	The Chemical Brothers
1300	88180	kept	Adi Shankara
1301	88049	kept	Do Androids Dream of Electric Sheep?
1302	87966	kept	In the Mood for Love
1303	87958	kept	Ludwig Wittgenstein
1304	87911	kept	Nintendo DS
1305	87832	kept	Little Women
1306	87778	kept	Madagascar (2005 film)
1307	87644	kept	Happy Birthday to You
1308	87625	kept	Ghost in the Shell (1995 film)
1309	87522	kept	Thriller (song)
1310	87496	kept	Westminster Abbey
1311	87418	kept	Slender Man
1312	87416	kept	Merlin
1313	87373	kept	Goldfinger (film)
1314	87227	kept	Tony Soprano
1315	87221	kept	Sailor Moon
1316	87176	kept	Robert Louis Stevenson
1317	87156	kept	Gaia
1318	87112	kept	Werewolf
1319	87064	kept	Hulk
1320	86971	kept	I Ching
1321	86964	kept	K-pop
1322	86959	kept	A Tale of Two Cities
1323	86895	kept	Thomas Mann
1324	86838	kept	MythBusters
1325	86825	kept	Missy Elliott
1326	86763	kept	Zodiac
1327	86757	kept	BoJack Horseman
1328	86681	kept	Freyja
1329	86652	kept	Bread
1330	86648	kept	Wicked (musical)
1331	86643	kept	Egyptian hieroglyphs
1332	86577	kept	Once Upon a Time in the West
1333	86496	kept	Doctor Zhivago (film)
1334	86454	kept	Four Weddings and a Funeral
1335	86415	kept	Cinderella
1336	86373	kept	Henry David Thoreau
1337	86156	kept	Harry Potter and the Deathly Hallows – Part 2
1338	86151	kept	Windsor Castle
1339	86120	kept	George Bernard Shaw
1340	86092	kept	Crouching Tiger, Hidden Dragon
1341	86043	kept	Animism
1342	85994	kept	Narcissus (mythology)
1343	85981	kept	Public domain
1344	85799	kept	Kung Fu Panda
1345	85768	kept	Dear Evan Hansen
1346	85757	kept	The Garden of Earthly Delights
1347	85721	kept	Looney Tunes
1348	85475	kept	Torah
1349	85247	kept	Dances With Wolves
1350	85126	kept	Gustav Klimt
1351	85126	kept	Hollywood Walk of Fame
1352	85113	kept	Disneyland
1353	85032	kept	Slaughterhouse-Five
1354	84979	kept	Faust
1355	84955	kept	Catherine Deneuve
1356	84877	kept	Persepolis
1357	84851	kept	A Fistful of Dollars
1358	84791	kept	Dragon Ball Z
1359	84773	kept	Brothers Grimm
1360	84770	kept	The Witcher
1361	84698	kept	Ra
1362	84670	kept	The Adventures of Tintin
1363	84640	kept	Anarchism
1364	84620	kept	Harry Potter and the Philosopher's Stone
1365	84598	kept	Slavoj Žižek
1366	84549	kept	Chichen Itza
1367	84485	kept	Cyberpunk
1368	84445	kept	Kraftwerk
1369	84364	kept	Morgan le Fay
1370	84261	kept	Park Chan-wook
1371	84242	kept	Seven Samurai
1372	84217	kept	British Museum
1373	84165	kept	Rumpelstiltskin
1374	84163	kept	Electronic Arts
1375	84163	kept	YMCA
1376	84158	kept	Tarzan (1999 film)
1377	84090	kept	Bard
1378	84014	kept	World's fair
1379	83840	kept	Anubis
1380	83839	kept	Resident Evil 4
1381	83792	kept	Treasure Island
1382	83786	kept	Detroit: Become Human
1383	83720	kept	The Witcher 3: Wild Hunt
1384	83710	kept	Simone de Beauvoir
1385	83667	kept	Pizza
1386	83436	kept	Ontology
1387	83424	kept	Nosferatu
1388	83379	kept	Super Mario Bros.
1389	83350	kept	Joker (character)
1390	83325	kept	Peaky Blinders
1391	83309	kept	Diego Rivera
1392	83096	kept	Lucian Freud
1393	83057	kept	League of Legends
1394	83034	kept	Christian Dior
1395	82976	kept	Inanna
1396	82816	kept	Alternative rock
1397	82805	kept	West Side Story
1398	82761	kept	Golem
1399	82728	kept	Andrei Tarkovsky
1400	82696	kept	The Last of Us Part II
1401	82693	kept	Gianni Versace
1402	82673	kept	Rear Window
1403	82512	kept	Naughty Dog
1404	82491	kept	Rama
1405	82341	kept	Alfonso Cuarón
1406	82336	kept	Pocahontas (1995 film)
1407	82316	kept	Amélie
1408	82277	kept	Samurai
1409	82178	kept	Great Expectations
1410	82165	kept	Clueless
1411	82122	kept	John Ford
1412	82106	kept	The Wind Rises
1413	82049	kept	Disney Channel
1414	81887	kept	Adam Smith
1415	81881	kept	Argonauts
1416	81849	kept	Yves Saint Laurent (designer)
1417	81839	kept	Ray Bradbury
1418	81809	kept	Louis Vuitton
1419	81784	kept	Doctor Strange (2016 film)
1420	81758	kept	Jeopardy!
1421	81747	kept	Singin' in the Rain
1422	81692	kept	Epic Games
1423	81662	kept	Pied Piper of Hamelin
1424	81653	kept	Oedipus
1425	81640	kept	Metaphysics
1426	81630	kept	Mario
1427	81608	kept	UNESCO
1428	81584	kept	Edward Scissorhands
1429	81463	kept	Francisco Goya
1430	81446	kept	Raphael
1431	81423	kept	The War of the Worlds
1432	81386	kept	Chicago (musical)
1433	81370	kept	Narcos
1434	81226	kept	Ganesha
1435	81207	kept	Osiris
1436	81138	kept	René Magritte
1437	81112	kept	Nintendo 64
1438	81102	kept	Sauron
1439	81083	kept	Gabriel García Márquez
1440	81043	kept	El Dorado
1441	81018	kept	Trevi Fountain
1442	80994	kept	Vaudeville
1443	80967	kept	Jorge Luis Borges
1444	80866	kept	Walter White (Breaking Bad)
1445	80758	kept	Hercule Poirot
1446	80749	kept	Emily Dickinson
1447	80731	kept	Hieronymus Bosch
1448	80686	kept	It's a Wonderful Life
1449	80548	kept	American Idol
1450	80545	kept	Popeye
1451	80512	kept	Pythagoras
1452	80438	kept	Mothman
1453	80436	kept	Genshin Impact
1454	80423	kept	All Quiet on the Western Front
1455	80305	kept	Georg Wilhelm Friedrich Hegel
1456	80194	kept	Markus Persson
1457	80139	kept	Furry fandom
1458	80090	kept	Jazz
1459	80075	kept	Herman Melville
1460	80072	kept	Country music
1461	79990	kept	Jon Snow (character)
1462	79947	kept	Halloween (1978 film)
1463	79935	kept	Cleopatra (1963 film)
1464	79902	kept	Palpatine
1465	79813	kept	Nomadland
1466	79796	kept	Ice cream
1467	79705	kept	Day of the Dead
1468	79443	kept	Nausicaä of the Valley of the Wind (film)
1469	79390	kept	Norman Rockwell
1470	79297	kept	Adventures of Huckleberry Finn
1471	79150	kept	Billy Wilder
1472	79007	kept	Edo period
1473	78946	kept	Ratchet & Clank
1474	78822	kept	Night of the Living Dead
1475	78795	kept	Pac-Man
1476	78758	kept	Resident Evil (1996 video game)
1477	78732	kept	Francis Bacon
1478	78729	kept	Capcom
1479	78727	kept	Cuneiform
1480	78688	kept	Mission: Impossible (film)
1481	78677	kept	The Tempest
1482	78664	kept	Palme d'Or
1483	78644	kept	Alan Moore
1484	78499	kept	Magneto (Marvel Comics)
1485	78487	kept	The Silmarillion
1486	78458	kept	Super Nintendo Entertainment System
1487	78454	kept	Latin alphabet
1488	78375	kept	Neo-noir
1489	78353	kept	Doraemon
1490	78243	kept	Jean-Jacques Rousseau
1491	78230	kept	Jack Kirby
1492	78125	kept	Isis
1493	78066	kept	Science fiction
1494	78064	kept	Emo
1495	78047	kept	Fantastic Mr. Fox (film)
1496	77993	kept	Doom (1993 video game)
1497	77969	kept	Brooklyn Bridge
1498	77902	kept	Swan Lake
1499	77732	kept	Thor
1500	77708	kept	The Nightmare Before Christmas
1501	77573	kept	True Lies
1502	77502	kept	Horus
1503	77475	kept	Temple of Artemis
1504	77411	kept	Jason
1505	77399	kept	Ella Fitzgerald
1506	77253	kept	Mrs. Doubtfire
1507	77232	kept	Glenn Miller
1508	77196	kept	Homunculus
1509	77065	kept	Antonio Vivaldi
1510	77055	kept	The King's Speech
1511	77002	kept	Alphabet
1512	76991	kept	Gravity (2013 film)
1513	76990	kept	Bram Stoker
1514	76966	kept	Hip-hop
1515	76921	kept	Jack London
1516	76804	kept	The Daily Show
1517	76600	kept	New wave music
1518	76596	kept	Icarus
1519	76499	kept	Vitruvian Man
1520	76381	kept	Alexander Pushkin
1521	76370	kept	Beatrix Potter
1522	76347	kept	William Gibson
1523	76318	kept	Brutalist architecture
1524	76309	kept	Steven Universe
1525	76287	kept	Asterix
1526	76271	kept	Chupacabra
1527	76151	kept	Watchmen
1528	76111	kept	Ralph Waldo Emerson
1529	75944	kept	Game Boy
1530	75938	kept	Gremlins
1531	75910	kept	W. B. Yeats
1532	75897	kept	Elle Woods
1533	75868	kept	Hanuman
1534	75867	kept	The Master and Margarita
1535	75745	kept	Domesday Book
1536	75702	kept	The Bridge on the River Kwai
1537	75597	kept	Downfall (2004 film)
1538	75576	kept	Hey Jude
1539	75571	kept	Square Enix
1540	75568	kept	Knights of the Round Table
1541	75412	kept	Sydney Opera House
1542	75269	kept	Damien Chazelle
1543	75257	kept	Fantasia (1940 film)
1544	75187	kept	Leonard Bernstein
1545	75086	kept	Spartacus (film)
1546	75068	kept	Sport
1547	74957	kept	Basilisk
1548	74836	kept	Teotihuacan
1549	74810	kept	Aragorn
1550	74727	kept	Phoenix (mythology)
1551	74698	kept	Hotel California
1552	74632	kept	The Muppets
1553	74619	kept	The Flintstones
1554	74566	kept	GameCube
1555	74563	kept	Big (film)
1556	74511	kept	Sunset Boulevard (film)
1557	74490	kept	Judo
1558	74488	kept	Golden Temple
1559	74472	kept	Sega Genesis
1560	74435	kept	Led Zeppelin IV
1561	74353	kept	Friedrich Engels
1562	74273	kept	Pulitzer Prize for Fiction
1563	74271	kept	The Canterbury Tales
1564	74267	kept	The Stand
1565	74145	kept	Kitsune
1566	74041	kept	Master of Puppets
1567	74027	kept	Wim Wenders
1568	74026	kept	Georgia O'Keeffe
1569	73931	kept	Old Testament
1570	73898	kept	Seneca the Younger
1571	73887	kept	Groundhog Day (film)
1572	73825	kept	The Jungle Book (1967 film)
1573	73814	kept	Id, ego and superego
1574	73788	kept	Zaha Hadid
1575	73766	kept	Meditation
1576	73736	kept	Akira Toriyama
1577	73589	kept	Mark Rothko
1578	73581	kept	Emmy Awards
1579	73562	kept	Hallelujah (Leonard Cohen song)
1580	73517	kept	Karl Lagerfeld
1581	73480	kept	M. C. Escher
1582	73465	kept	Wong Kar-wai
1583	73457	kept	Grunge
1584	73369	kept	Lady with an Ermine
1585	73369	kept	Martin Heidegger
1586	73334	kept	Dragon Quest
1587	73207	kept	Kraken
1588	73191	kept	Jack Ryan (character)
1589	73157	kept	Pietà (Michelangelo)
1590	73132	kept	Archer (2009 TV series)
1591	73075	kept	Progressive rock
1592	73055	kept	Dreamcast
1593	73013	kept	Jason Voorhees
1594	72983	kept	Ninja
1595	72927	kept	Bethesda Softworks
1596	72904	kept	Sony Interactive Entertainment
1597	72898	kept	Television
1598	72883	kept	Anton Chekhov
1599	72881	kept	Flatiron Building
1600	72807	kept	Friday the 13th (1980 film)
1601	72781	kept	D. H. Lawrence
1602	72738	kept	Adam and Eve
1603	72702	kept	Nike (mythology)
1604	72690	kept	The Lego Movie
1605	72671	kept	Taipei 101
1606	72647	kept	Mermaid
1607	72615	kept	Chocolate
1608	72564	kept	Cognitive dissonance
1609	72479	kept	Iron Man
1610	72464	kept	Meme
1611	72461	kept	Book of Genesis
1612	72409	kept	Memento mori
1613	72339	kept	Fairy
1614	72306	kept	The Old Man and the Sea
1615	72147	kept	Das Boot
1616	72118	kept	Life Is Strange
1617	72108	kept	Hollow Knight
1618	72103	kept	Hero's journey
1619	72067	kept	In Search of Lost Time
1620	71928	kept	Animal House
1621	71757	kept	Fiddler on the Roof
1622	71723	kept	Chrysler Building
1623	71564	kept	Petronas Towers
1624	71443	kept	Sweeney Todd: The Demon Barber of Fleet Street
1625	71390	kept	Diamond
1626	71334	kept	God of War (2005 video game)
1627	71326	kept	Gollum
1628	71270	kept	Raging Bull
1629	71127	kept	William Tell
1630	71116	kept	Witchcraft
1631	71049	kept	Samuel Beckett
1632	71030	kept	Man's Search for Meaning
1633	70906	kept	Wonder Woman (2017 film)
1634	70742	kept	Sappho
1635	70708	kept	Runes
1636	70663	kept	Belle Époque
1637	70428	kept	Demon
1638	70385	kept	Angry Birds
1639	70263	kept	Confucianism
1640	70256	kept	The Hunchback of Notre-Dame
1641	70240	kept	Gangnam Style
1642	70208	kept	Butch Cassidy and the Sundance Kid
1643	70185	kept	Gothic fiction
1644	70144	kept	The Ten Commandments (1956 film)
1645	70113	kept	Bildungsroman
1646	70109	kept	Barbie
1647	70100	kept	Midas
1648	70014	kept	Geoffrey Chaucer
